[03:05:18] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[03:05:18] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[03:05:18] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[03:05:18] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[03:05:18] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[03:05:18] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[03:05:18] [main/INFO]: Reloading ResourceManager: Default
[03:05:19] [Worker-Main-14/INFO]: Loaded 7 recipes
[03:05:19] [Worker-Main-14/INFO]: Loaded 927 advancements
[03:05:21] [Server thread/INFO]: Starting minecraft server version 1.16.4
[03:05:21] [Server thread/INFO]: Loading properties
[03:05:21] [Server thread/INFO]: Default game type: SURVIVAL
[03:05:21] [Server thread/INFO]: Generating keypair
[03:05:21] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:05:21] [Server thread/INFO]: Using default channel type
[03:05:22] [Server thread/INFO]: Preparing level "world"
[03:05:22] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[03:05:22] [Server thread/INFO]: Preparing spawn area: 0%
[03:05:22] [Server thread/INFO]: Preparing spawn area: 0%
[03:05:23] [Server thread/INFO]: Preparing spawn area: 4%
[03:05:24] [Server thread/INFO]: Time elapsed: 1853 ms
[03:05:24] [Server thread/INFO]: Done (1.941s)! For help, type "help"
[03:05:34] [User Authenticator #1/INFO]: UUID of player NinjaKhan is 868979b1-3961-476a-912a-56c08c1648f7
[03:05:34] [Server thread/INFO]: NinjaKhan[/192.168.1.71:58166] logged in with entity id 5 at (12.298448571931212, 21.410656833986724, 60.64466722746043)
[03:05:34] [Server thread/INFO]: NinjaKhan joined the game
[03:05:41] [Server thread/INFO]: [@: Gave 1 [Lever] to NinjaKhan]
[03:07:09] [Server thread/INFO]: Successfully filled 239 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 237 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 197 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 239 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 235 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 153 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 197 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 195 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 195 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 195 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 153 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 191 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 153 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 318 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 189 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 197 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 195 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:09] [Server thread/INFO]: Successfully filled 157 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 157 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 195 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 235 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 157 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 195 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 281 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 153 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 197 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 239 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 195 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 191 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 235 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 193 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 197 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 191 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 195 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 157 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 195 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 153 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 157 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 195 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 189 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 153 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:10] [Server thread/INFO]: Successfully filled 155 blocks
[03:07:11] [Server thread/INFO]: Successfully filled 153 blocks
[03:07:11] [Server thread/INFO]: Successfully filled 193 blocks
[03:07:11] [Server thread/INFO]: Successfully filled 193 blocks
[03:07:11] [Server thread/INFO]: Successfully filled 153 blocks
